n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
41.02,39.67,42.72,41.69,37.42,37.42,36.83,40.22,37.45,36.19,37.81,38.44,39.07,42.80,41.54,36.20,43.26,34.30,42.22,40.47,44.28,35.20,42.50,39.76,44.01,40.63,34.78,38.80,41.64,35.39,36.11,42.07,40.43,44.36,35.97,34.48,40.81,39.89,42.23,39.65,42.93,38.53,41.70,43.93,41.12,36.24,31.18,43.15,38.18,36.68
44.01,43.98,42.20,50.03,40.97,46.36,39.46,45.90,42.90,51.01,41.26,45.47,44.27,50.48,44.82,43.82,43.93,40.31,41.59,47.48,46.26,46.23,49.17,48.44,51.98,50.64,41.07,43.77,45.44,40.71,45.20,43.10,45.94,43.59,44.10,43.12,43.62,43.30,44.54,42.29,47.55,48.98,45.44,44.54,46.73,41.58,40.76,45.87,42.82,48.93
74.57,74.79,72.75,72.26,77.12,75.96,78.26,70.29,71.74,76.36,70.66,77.74,82.23,73.39,76.96,75.85,77.85,72.69,72.61,76.68,76.76,74.84,74.95,76.14,76.76,80.71,72.10,75.62,78.68,78.05,77.49,82.11,75.44,74.44,74.83,74.29,78.73,71.18,74.80,82.08,77.65,80.86,76.74,73.09,80.16,74.72,70.72,74.59,77.63,73.50
118.02,116.32,117.87,114.09,114.46,116.28,117.53,111.56,122.54,112.98,118.89,114.80,120.05,113.10,112.47,121.02,121.38,114.13,119.02,114.71,112.30,116.01,119.50,113.22,113.97,117.08,109.11,116.72,116.95,115.63,111.01,117.75,113.97,113.54,114.25,120.66,111.06,116.32,112.65,115.09,113.33,118.57,118.30,115.25,117.52,118.93,111.88,117.44,110.57,117.73
157.31,158.75,160.67,154.33,154.83,162.02,157.80,161.01,157.26,156.53,154.49,156.05,152.64,156.41,152.29,159.22,155.04,161.89,159.70,160.26,158.92,157.24,160.08,161.41,159.71,162.06,155.00,153.86,158.71,155.49,153.24,158.27,158.86,153.89,164.17,155.40,155.99,156.14,153.11,156.05,153.82,157.42,157.95,157.92,156.91,154.10,158.70,157.93,160.12,161.30
165.86,159.86,158.59,163.18,162.16,160.90,155.77,162.03,164.80,164.07,165.43,156.90,162.78,158.02,158.73,160.61,166.03,160.87,160.83,162.90,159.55,161.60,159.52,164.06,163.36,155.41,168.94,162.38,160.72,159.37,160.37,158.46,160.22,162.81,163.72,160.23,161.14,158.90,157.57,161.49,159.42,162.26,166.35,158.29,158.13,161.63,163.41,160.28,156.29,160.13
142.02,138.58,145.35,142.28,141.32,146.88,145.31,141.39,142.01,145.21,141.16,146.57,142.58,142.87,141.13,142.54,144.59,140.70,147.30,143.98,140.08,147.81,145.39,145.81,144.10,143.56,138.20,147.58,144.09,144.99,143.16,144.61,141.93,145.89,141.65,146.40,146.90,143.06,143.52,144.04,145.40,143.84,148.35,139.60,144.30,145.31,141.72,138.94,142.10,145.12
159.72,154.79,160.87,157.39,161.42,155.76,158.16,162.44,159.86,150.59,156.38,161.98,160.10,152.81,156.01,153.37,154.91,161.33,156.65,153.03,154.07,160.52,154.69,157.29,151.32,160.95,154.28,159.84,153.73,155.29,155.67,156.60,154.93,160.19,157.69,155.78,151.36,154.21,155.84,153.74,157.45,156.39,157.83,153.83,160.70,158.74,156.91,152.23,157.09,155.92
141.12,142.88,142.40,137.48,143.83,143.79,147.14,144.10,138.07,138.35,138.73,144.05,137.48,140.97,140.03,143.38,143.56,141.39,141.21,144.79,137.38,147.38,145.64,142.34,145.64,143.65,144.82,137.76,141.08,140.53,142.22,143.17,141.30,151.45,143.74,142.11,142.73,145.56,146.14,141.03,141.97,139.62,143.71,144.20,142.27,146.06,138.88,145.77,142.84,140.17
148.95,147.42,146.48,147.30,147.02,147.43,144.25,143.31,148.39,148.76,146.95,142.51,147.63,148.01,142.21,141.96,142.51,146.35,148.89,141.54,143.38,148.56,147.74,146.61,145.47,143.68,146.11,142.70,139.83,142.11,137.67,144.40,148.73,148.56,148.69,142.18,149.77,142.80,146.28,147.28,148.34,148.18,149.24,149.93,141.88,143.90,147.59,145.33,147.11,143.93
114.47,119.35,120.59,121.68,121.25,126.02,122.02,120.64,115.35,113.43,120.15,119.61,121.20,120.83,116.74,121.54,122.03,123.40,123.48,119.12,119.31,121.86,120.00,123.74,119.83,123.42,117.32,122.15,114.96,122.72,118.45,117.70,120.74,124.44,118.87,118.12,123.91,121.47,114.23,119.43,118.16,120.39,120.34,118.63,118.15,120.13,122.32,115.71,119.57,116.71
80.43,83.77,77.64,81.46,74.80,76.42,84.31,79.88,76.02,79.86,81.45,84.27,80.77,77.98,76.59,79.42,81.59,78.42,74.39,79.02,82.41,81.25,74.08,83.04,80.95,84.48,81.73,82.96,75.55,76.88,77.38,81.28,81.78,76.16,75.80,77.83,79.59,81.74,75.83,82.79,75.15,81.43,76.78,79.99,81.51,75.11,78.71,78.24,74.63,81.68
52.05,55.94,57.38,57.88,55.06,61.32,50.68,56.81,58.28,57.66,53.99,60.19,61.26,50.38,59.60,54.38,53.62,58.05,57.03,52.49,55.41,52.79,51.72,60.14,57.63,56.48,58.35,60.60,53.10,57.26,54.58,56.91,55.06,51.33,54.91,56.07,56.69,49.94,59.08,55.38,54.83,54.50,56.17,53.04,53.60,57.24,55.39,57.28,56.64,55.55
56.91,58.22,57.29,55.68,58.91,55.66,52.70,57.64,54.42,56.23,58.74,58.02,52.94,64.02,59.76,58.08,56.90,54.59,53.41,61.99,56.43,57.36,59.15,55.38,57.18,60.78,57.66,56.38,54.86,60.13,55.66,58.65,59.66,61.49,54.34,59.56,56.72,56.98,55.32,53.91,59.44,56.04,63.87,61.98,52.01,60.18,60.20,60.71,54.25,59.96
