n1,n2,n3,n4,n5,n6,n7
72.0000,72.0000,73.0000,0.3030,0.1092,132.5000,84.3630
73.0000,73.0000,74.0000,0.2060,0.1440,52.6990,22.4820
74.0000,74.0000,75.0000,0.2330,0.0840,869.7900,614.7750
75.0000,75.0000,76.0000,0.5910,0.1773,31.3490,29.8170
76.0000,76.0000,77.0000,0.1260,0.0453,192.3900,122.4300
77.0000,64.0000,78.0000,0.5590,0.3687,65.7500,45.3700
78.0000,78.0000,79.0000,0.1860,0.1227,238.1500,223.2200
79.0000,79.0000,80.0000,0.1860,0.1227,294.5500,162.4700
80.0000,80.0000,81.0000,0.2600,0.1390,485.5700,437.9200
81.0000,81.0000,82.0000,0.1540,0.1480,243.5300,183.0300
82.0000,82.0000,83.0000,0.2300,0.1280,243.5300,183.0300
83.0000,83.0000,84.0000,0.2520,0.1060,134.2500,119.2900
84.0000,84.0000,85.0000,0.1800,0.1480,22.7100,27.9600
85.0000,79.0000,86.0000,0.1600,0.1820,49.5130,26.5150
86.0000,86.0000,87.0000,0.2000,0.2300,383.7800,257.1600
87.0000,87.0000,88.0000,0.1600,0.3930,49.6400,20.6000
88.0000,65.0000,89.0000,0.6690,0.2412,22.4730,11.8060
89.0000,89.0000,90.0000,0.2660,0.1227,62.9300,42.9600
90.0000,90.0000,91.0000,0.2660,0.1227,30.6700,34.9300
91.0000,91.0000,92.0000,0.2660,0.1227,62.5300,66.7900
92.0000,92.0000,93.0000,0.2660,0.1227,114.5700,81.7480
93.0000,93.0000,94.0000,0.2330,0.1150,81.2920,66.5260
94.0000,94.0000,95.0000,0.4960,0.1380,31.7330,15.9600
95.0000,91.0000,96.0000,0.1960,0.1800,33.3200,60.4800
96.0000,96.0000,97.0000,0.1960,0.1800,531.2800,224.8500
97.0000,97.0000,98.0000,0.1866,0.1220,507.0300,367.4200
98.0000,98.0000,99.0000,0.0746,0.3180,26.3900,11.7000
99.0000,1.0000,100.0000,0.0625,0.0265,45.9900,30.3920
100.0000,100.0000,101.0000,0.1501,0.2340,100.6600,47.5720
101.0000,101.0000,102.0000,0.1347,0.0888,456.4800,350.3000
102.0000,102.0000,103.0000,0.2307,0.1203,522.5600,449.2900
103.0000,103.0000,104.0000,0.4470,0.1608,408.4300,168.4600
104.0000,104.0000,105.0000,0.1632,0.0588,141.4800,134.2500
105.0000,105.0000,106.0000,0.3300,0.0990,104.4300,66.0240
106.0000,106.0000,107.0000,0.1560,0.0561,96.7930,83.6470
107.0000,107.0000,108.0000,0.3819,0.1374,493.9200,419.3400
108.0000,108.0000,109.0000,0.1626,0.0585,225.3800,135.8800
109.0000,109.0000,110.0000,0.3819,0.1374,509.2100,387.2100
110.0000,110.0000,111.0000,0.2445,0.0879,188.5000,173.4600
111.0000,110.0000,112.0000,0.2088,0.0753,918.0300,898.5500
112.0000,112.0000,113.0000,0.2301,0.0828,305.0800,215.3700
113.0000,100.0000,114.0000,0.6102,0.2196,54.3800,40.9700
114.0000,114.0000,115.0000,0.1866,0.1270,211.1400,192.9000
115.0000,115.0000,116.0000,0.3732,0.2460,67.0090,53.3360
116.0000,116.0000,117.0000,0.4050,0.3670,162.0700,90.3210
117.0000,117.0000,118.0000,0.4890,0.4380,48.7850,29.1560
118.0000,46.0000,27.0000,0.5258,0.2925,33.9000,18.9800
119.0000,17.0000,27.0000,0.5258,0.2916,-1.0000,-1.0000
120.0000,8.0000,24.0000,0.4272,0.1539,-1.0000,-1.0000
121.0000,54.0000,43.0000,0.4800,0.1728,-1.0000,-1.0000
122.0000,62.0000,49.0000,0.3600,0.1296,-1.0000,-1.0000
123.0000,37.0000,62.0000,0.5700,0.5720,-1.0000,-1.0000
124.0000,9.0000,40.0000,0.5300,0.3348,-1.0000,-1.0000
125.0000,58.0000,96.0000,0.3957,0.1425,-1.0000,-1.0000
126.0000,73.0000,91.0000,0.6800,0.6480,-1.0000,-1.0000
127.0000,88.0000,75.0000,0.4062,0.1464,-1.0000,-1.0000
128.0000,99.0000,77.0000,0.4626,0.1674,-1.0000,-1.0000
129.0000,108.0000,83.0000,0.6510,0.2340,-1.0000,-1.0000
130.0000,105.0000,86.0000,0.8125,0.2925,-1.0000,-1.0000
131.0000,110.0000,118.0000,0.7089,0.2553,-1.0000,-1.0000
132.0000,25.0000,35.0000,0.5000,0.5000,-1.0000,-1.0000
