n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
156.89,155.37,155.34,157.09,160.02,154.24,154.77,157.67,159.33,153.29,157.17,153.45,158.95,153.79,155.92,161.50,157.57,158.21,156.23,157.14,158.74,160.76,158.03,158.04,153.42,162.85,155.33,156.67,157.47,159.40,157.50,152.00,159.65,163.94,154.00,155.51,157.97,159.31,163.15,153.16,156.45,163.64,154.75,161.11,159.12,159.42,157.49,162.30,155.79,159.68
162.65,159.73,156.80,165.05,164.35,163.11,158.58,167.87,162.52,162.47,165.54,164.74,163.76,164.97,165.94,163.96,165.62,163.67,166.36,167.24,163.15,161.98,159.31,165.36,161.76,159.61,165.58,160.92,161.98,164.81,161.31,162.71,162.59,158.62,159.45,162.79,159.09,157.99,164.12,163.36,166.42,160.25,161.42,157.08,160.27,166.06,158.57,156.42,165.59,157.59
143.38,147.63,145.13,147.83,143.51,145.64,145.51,148.12,146.01,142.26,150.55,144.11,143.94,140.37,147.27,143.23,138.92,143.71,142.95,143.76,148.26,141.45,146.76,142.56,143.91,142.19,139.24,146.96,141.73,146.13,141.93,144.35,147.24,144.40,145.32,143.33,139.38,144.85,151.90,145.13,144.25,148.55,136.41,146.06,143.62,147.46,141.14,142.34,141.54,149.23
154.43,153.67,156.43,156.88,157.87,155.40,156.52,154.14,157.06,159.70,160.32,156.35,154.48,160.18,153.60,153.91,153.01,158.54,156.01,159.69,153.98,149.79,152.62,157.73,159.10,159.36,156.73,150.84,156.86,157.88,153.92,159.55,153.30,160.35,155.45,156.38,156.12,156.79,152.32,157.69,154.85,158.83,154.39,150.67,154.51,155.88,154.75,152.15,153.71,156.19
145.40,140.52,144.19,140.27,141.10,148.08,136.92,139.68,147.70,141.52,138.40,142.99,143.58,137.05,139.03,139.34,139.81,143.63,137.95,139.42,140.50,141.95,136.39,139.64,141.58,141.45,141.35,144.22,140.74,139.25,141.39,144.35,145.67,140.16,144.58,143.02,140.46,145.88,143.83,142.42,146.19,146.38,146.55,142.94,139.05,139.84,144.81,140.57,141.14,140.01
146.65,147.04,149.68,147.43,150.11,147.73,145.64,141.75,148.27,146.87,151.20,143.90,146.98,143.01,141.92,145.06,148.44,143.08,142.16,147.65,150.44,150.39,150.29,143.93,140.81,145.50,145.49,143.17,145.03,144.98,145.65,151.29,148.65,145.04,144.17,146.01,149.79,146.67,145.31,147.09,147.00,147.56,144.50,148.40,148.92,144.05,148.74,145.68,145.43,141.20
120.63,118.38,119.38,123.86,120.01,119.11,122.48,121.38,123.83,121.41,120.25,121.73,120.77,117.74,115.05,125.76,119.29,119.82,127.65,120.16,118.03,114.89,119.31,116.06,118.00,119.17,119.56,115.67,119.83,120.74,120.89,119.19,122.59,120.78,120.81,119.00,124.05,119.84,115.86,121.68,119.88,122.14,120.85,121.69,115.43,119.29,119.88,119.95,117.09,122.00
80.27,85.42,82.71,78.56,83.33,79.15,74.36,79.52,81.06,77.93,78.00,82.92,79.57,74.70,81.30,78.95,81.61,78.72,84.67,78.26,78.39,79.05,75.56,84.78,79.01,82.89,82.16,81.80,76.72,82.17,78.57,80.49,81.60,83.51,74.82,83.74,78.50,82.08,85.49,81.16,73.88,76.61,81.03,79.66,85.16,79.47,83.43,78.11,82.22,80.49
56.04,56.35,57.37,60.04,57.11,59.18,54.95,55.25,52.15,60.27,60.93,57.14,57.76,59.20,55.10,53.76,59.65,57.11,56.46,54.58,57.99,54.80,53.42,54.79,50.65,61.13,50.68,60.39,57.62,53.17,51.98,56.62,54.37,53.37,52.34,54.08,55.78,54.14,61.27,54.62,52.67,54.33,57.61,54.03,51.03,59.13,56.48,58.60,51.58,54.78
57.10,61.19,55.20,58.68,60.08,56.29,64.00,58.52,55.99,57.44,58.29,59.81,59.55,55.55,58.55,57.83,61.03,57.29,58.80,54.49,55.33,58.87,57.79,60.40,61.15,57.71,59.20,56.59,53.38,57.69,57.91,54.48,55.97,61.16,55.73,54.74,58.25,57.94,59.21,60.14,51.92,58.39,56.03,55.71,62.30,62.79,58.74,55.80,61.29,59.71
